id,person_id,service,day,time,mins,status
c-pef5ab5aa,pef5ab5aa,College shortlisting,2026-09-23,10:00,30,done
c-p689c538b,p689c538b,SOP review,2026-09-23,10:45,45,done
c-p763e2c28,p763e2c28,Visa readiness,2026-09-23,11:30,60,done
c-pb48b418d,pb48b418d,Pathway consult,2026-09-23,12:15,30,done
c-p0368e4cb,p0368e4cb,Essay workshop,2026-09-23,13:00,45,done
c-p6748ac36,p6748ac36,Applications,2026-09-23,13:40,60,done
c-p6f3dd9d6,p6f3dd9d6,Essay workshop,2026-09-23,14:00,30,missed
c-pa111b0e8,pa111b0e8,College shortlisting,2026-09-23,14:45,45,done
c-p2aa020c2,p2aa020c2,SOP review,2026-09-23,15:15,60,done
c-pb0206def,pb0206def,Visa readiness,2026-09-23,16:00,30,done
c-pf83dc512,pf83dc512,Pathway consult,2026-09-23,16:45,45,done
c-pb7629586,pb7629586,Essay workshop,2026-09-23,17:30,60,done
c-pf0120b91,pf0120b91,Parent consult,2026-09-23,18:00,30,upcoming
c-p8e100e7b,p8e100e7b,Parent consult,2026-09-23,18:45,45,upcoming
c-pfdb9975d,pfdb9975d,College shortlisting,2026-09-23,19:30,60,upcoming
c-p1bdade64,p1bdade64,SOP review,2026-09-23,10:00,30,missed
c-pf5672f4d,pf5672f4d,Visa readiness,2026-09-23,10:45,45,missed
c-pb42031d3,pb42031d3,Pathway consult,2026-09-23,11:30,60,missed
c-p165009cb,p165009cb,Parent consult,2026-09-23,12:15,30,done
c-pa6942f57,pa6942f57,College shortlisting,2026-09-23,13:00,45,done
c-p32e9f6a4,p32e9f6a4,Parent consult,2026-09-22,13:40,60,done
c-p1ed6b161,p1ed6b161,Parent consult,2026-09-22,14:00,30,done
c-pd9aec628,pd9aec628,Pathway consult,2026-09-22,14:45,45,done
c-p757cd7d8,p757cd7d8,Visa readiness,2026-09-21,15:15,60,done
c-pdb10ec9d,pdb10ec9d,Parent consult,2026-09-21,16:00,30,done
c-pa9149edf,pa9149edf,Essay workshop,2026-09-21,16:45,45,done
c-p5b9bd833,p5b9bd833,Parent consult,2026-09-21,17:30,60,done
c-p540c5229,p540c5229,SOP review,2026-09-21,18:00,30,done
c-pf007bdc1,pf007bdc1,Visa readiness,2026-09-21,18:45,45,done
c-pecb9a9f0,pecb9a9f0,SOP review,2026-09-21,19:30,60,done
c-p287dfc1a,p287dfc1a,Visa readiness,2026-09-21,10:00,30,done
c-p2198461e,p2198461e,Pathway consult,2026-09-20,10:45,45,done
c-p13af1998,p13af1998,Essay workshop,2026-09-19,11:30,60,done
c-pc2635068,pc2635068,Applications,2026-09-19,12:15,30,done
c-p391ef1db,p391ef1db,Essay workshop,2026-09-19,13:00,45,done
c-pae8a099d,pae8a099d,Visa readiness,2026-09-19,13:40,60,done
c-pd159409a,pd159409a,SOP review,2026-09-19,14:00,30,done
c-pe1f4bffa,pe1f4bffa,Visa readiness,2026-09-18,14:45,45,done
c-p5f630940,p5f630940,Pathway consult,2026-09-18,15:15,60,done
c-sohan,sohan,Essay workshop,2026-09-18,16:00,30,done
c-ped462f71,ped462f71,Applications,2026-09-22,16:45,45,done
c-pd5b97457,pd5b97457,Visa readiness,2026-09-21,17:30,60,done
c-p1aaac365,p1aaac365,Pathway consult,2026-09-20,18:00,30,done
c-p0ccde525,p0ccde525,SOP review,2026-09-19,18:45,45,done
c-pbd453686,pbd453686,Visa readiness,2026-09-18,19:30,60,done
c-p7a475f08,p7a475f08,SOP review,2026-09-17,10:00,30,done
c-p17366e1b,p17366e1b,Parent consult,2026-09-16,10:45,45,done
c-p83ddf922,p83ddf922,Applications,2026-09-15,11:30,60,done
c-p636647e0,p636647e0,Visa readiness,2026-09-14,12:15,30,done
c-p663ada87,p663ada87,College shortlisting,2026-09-13,13:00,45,done
c-pd9cd4f19,pd9cd4f19,Parent consult,2026-09-13,13:40,60,done
c-p707a552a,p707a552a,Visa readiness,2026-09-13,14:00,30,done
c-p43ea7db0,p43ea7db0,Pathway consult,2026-09-12,14:45,45,done
c-p9169ca7f,p9169ca7f,Pathway consult,2026-09-12,15:15,60,done
c-aarav,aarav,College shortlisting,2026-09-12,16:00,30,done
c-p7b5c4589,p7b5c4589,Parent consult,2026-09-12,16:45,45,done
c-pf1c75d48,pf1c75d48,College shortlisting,2026-09-12,17:30,60,done
c-p5c7331cc,p5c7331cc,Parent consult,2026-09-11,18:00,30,done
c-kabir,kabir,Applications,2026-09-10,18:45,45,done
c-p103aa5cd,p103aa5cd,Pathway consult,2026-09-10,19:30,60,done
c-p0813ed73,p0813ed73,Essay workshop,2026-09-10,10:00,30,done
c-pea2961dc,pea2961dc,SOP review,2026-09-09,10:45,45,done
